Symbol,Name,Exchange,Enterprise Value,Market Cap,Cash,Total Liabilities,Net Profit Margin,Net Income,Revenue Growth,Return on EV,Share Price
EW,Edwards Lifesciences,NYSE,49.370000000000005,48.17,1.47,2.67,28.73,1.5,19.29,0.030382823577071092,76.59
EA,Electronic Arts,NASDAQ,34.199999999999996,31.08,3.06,6.18,11.29,789,24.2,23.070175438596493,112.25
EMR,Emerson Electric Company,NYSE,67.23,49.67,1.8,19.36,16.46,3.23,7.64,0.04804402796370667,85.99
ETR,Entergy Corp.,NYSE,-373.15,21.88,442.56,47.53,9.52,1.12,16.11,-0.0030014739380946004,106.09
EOG,EOG Resources,NYSE,86.35000000000001,75.5,5.21,16.06,23.58,4.66,99.08,0.05396641574985524,133.13
EQT,EQT Corporation,NYSE,-91.16,11.24,113.96,11.56,-17.14,-1.16,158.06,0.012724879333040806,31.08
EFX,Equifax Inc.,NYSE,-190.48999999999998,26.77,224.7,7.44,15.11,744.2,19.29,-3.9067667594099436,214.06
EQIX,Equinix,NASDAQ,82.8,67.3,1.54,17.04,7.99,500.19,11.34,6.040942028985508,728.42
EQR,Equity Residential,NYSE,-89.15,25.2,123.83,9.48,54.09,1.33,-4.19,-0.014918676388109927,66.3
ESS,Essex Property Trust Inc.,NYSE,-26.180000000000003,15.45,48.42,6.79,31.47,488.55,-0.64,-18.66119174942704,238.83
EL,Estee Lauder Cos.,NYSE,101.47,90.97,3.98,14.48,13.47,2.39,9.39,0.023553759731940477,255.52
RE,Everest Re Group Ltd.,NYSE,40.49,15.06,2.62,28.05,11.66,1.38,23.26,0.03408248950358113,380.35
ES,Eversource Energy,NYSE,-5.209999999999994,27.82,66.77,33.74,12.37,1.22,10.77,-0.23416506717850316,78.89
EXC,Exelon Corp.,NASDAQ,139.44,42.4,1.18,98.22,4.69,1.71,10.01,0.012263339070567985,42.03
EXPE,Expedia Inc.,NASDAQ,31.470000000000002,17.78,4.31,18,0.14,12,65.38,0.3813155386081983,114.95
EXPD,Expeditors International,NASDAQ,20.45,18.07,1.73,4.11,8.57,1.42,72.4,0.06943765281173594,113.11
EXR,Extra Space Storage,NYSE,-42.99000000000001,21.72,71.4,6.69,51.42,827.65,16.77,-19.25215166317748,159.96
XOM,Exxon Mobil Corp.,NYSE,634.4200000000001,477.98,6.8,163.24,8.26,23.04,55.18,0.0363166356672236,116.33
FFIV,F5 Networks,NASDAQ,-872.8900000000001,8.87,884.57,2.81,11.95,322.16,3.55,-0.36907284995818485,147.23
META,Meta Platforms Inc.,NASDAQ,452.42,459.31,48,41.11,33.38,39.37,37.18,0.0870209097741037,179.48
FB,Facebook Inc.,NASDAQ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FAST,Fastenal Co,NASDAQ,-198.41,30.3,230.1,1.39,15.57,1.09,16.13,-0.0054936747139761105,52.74
FRT,Federal Realty Investment Trust,NYSE,-148.44,8.94,162.13,4.75,27.45,261.5,15.11,-1.7616545405551065,110.12
FDX,FedEx Corporation,NYSE,107.93,53.77,6.9,61.06,4.09,3.83,11.38,0.0354859631242472,212.67
FIS,Fidelity National Information Services,NYSE,73.41,40.02,2.01,35.4,3,417,10.56,5.680425010216592,67.81
FITB,Fifth Third Bancorp,NASDAQ,211.6,25.35,3.88,190.13,31.31,2.45,-5.85,0.011578449905482043,37.19
FE,FirstEnergy Corp,NYSE,58.6,23.3,1.46,36.76,11.72,1.28,3.17,0.021843003412969283,40.17
FISV,Fiserv Inc,NASDAQ,-715.9300000000001,74.77,835,44.3,8.22,1.33,9.25,-0.0018577235204559105,116.01
FLS,Flowserve Corporation,NYSE,-650.74,4.8,658.45,2.91,3.56,125.95,-5.02,-0.193548882810339,35.85
FLR,Fluor Corp.,NYSE,8.59,5.22,2.34,5.71,-3.54,-440.17,-12.17,-51.24214202561118,36.39
FL,Foot Locker Inc,NYSE,-794.95,4.16,804,4.89,9.97,893,18.68,-1.123341090634631,44.45
F,Ford Motor,NYSE,223.48999999999998,51.54,36.46,208.41,13.16,17.94,7.23,0.08027204796635197,12.97
FTV,Fortive Corp,NYSE,-787.81,24.54,819.3,6.95,11.58,608.4,13.38,-0.7722674248867113,69.02
BEN,Franklin Resources,NYSE,25.990000000000002,15.88,4.13,14.24,15.61,1.29,-1.78,0.04963447479799923,31.71
FCX,Freeport-McMoRan Inc.,NYSE,78.53999999999999,60.47,8.15,26.22,15.22,3.47,-0.28,0.04418130888719125,42.98
GPS,Gap Inc.,NYSE,-861.83,5.13,877,10.04,1.54,256,20.8,-0.2970423401366859,14
GRMN,Garmin Ltd.,NYSE,18.709999999999997,18.82,1.85,1.74,21.72,1.08,19.02,0.05772314270443614,97.31
IT,Gartner Inc,NYSE,-722.21,27.23,756.49,7.05,16.76,793.56,15.48,-1.0987939795904238,342.21
GD,General Dynamics,NYSE,95.58,63.8,1.24,33.02,8.6,3.39,2.44,0.0354676710608914,232.07
GE,General Electric,NYSE,220.78,92.34,21.77,150.21,0.29,225,3.18,1.0191140501857052,83.54
GIS,General Mills,NYSE,-754.61,44.29,819.2,20.3,14.25,2.71,4.78,-0.0035912590609718928,75.35
GM,General Motors,NYSE,214.12,59.9,24.68,178.9,7.89,10.02,3.69,0.046796189052867546,42.43
GPC,Genuine Parts,NYSE,-678.5200000000001,25.33,714.7,10.85,4.76,898.79,14.11,-1.3246330248187228,176.61
GILD,Gilead Sciences,NASDAQ,144.98999999999998,106.06,7.96,46.89,22.8,6.23,10.6,0.04296848058486793,85.68
GPN,Global Payments Inc.,NYSE,48.46,31.03,1.98,19.41,11.33,965.46,14.82,19.922822946760213,116.18
GS,Goldman Sachs Group,NYSE,-414.90999999999997,126.76,543,1.33,25.22,11.26,-24.3,-0.027138415560000965,371.78
GT,Goodyear Tire & Rubber,NASDAQ,18.47,3.34,1.09,16.22,4.37,764,41.86,41.36437466161343,11.66
GWW,Grainger (W.W.) Inc.,NYSE,-202.57999999999998,33.99,241,4.43,8.01,1.04,10.38,-0.005133774311383158,666.54
HAL,Halliburton Co.,NYSE,47.24,34.31,2.35,15.28,7.74,1.57,32.7,0.03323454699407282,38.96
HBI,Hanesbrands Inc,NYSE,-527.8299999999999,2.08,536.28,6.37,1.14,77.22,11,-0.1462971032339958,5.79
HOG,Harley-Davidson,NYSE,14.56,7.14,1.08,8.5,12.18,650.02,31.62,44.64423076923077,48.84
HIG,Hartford Financial Svc.Gp.,NYSE,79.35,24.51,3.9,58.74,10.58,2.37,9.05,0.029867674858223066,77.58
HAS,Hasbro Inc.,NASDAQ,-968.39,8.06,983.4,6.95,6.68,428.7,17.47,-0.44269354289077745,58.11
HCA,HCA Holdings,NYSE,-782.26,73.23,908,52.51,NaN,5.64,2.52,-0.007209879068340449,258.9
HCP,HCP Inc.,NASDAQ,346.58,6.56,1.36,341.38,-90.45,-290.14,51.41,-0.8371515955912054,33.5
HP,Helmerich & Payne,NYSE,-343,4.64,349.23,1.59,0.34,6.95,68.96,-0.020262390670553937,46.14
HSIC,Henry Schein,NASDAQ,-102.16,12.01,117.97,3.8,5.09,631.23,22.55,-6.178837118245889,88.98
HES,Hess Corporation,NYSE,55.64,45.02,2.49,13.11,20.08,2.22,51.61,0.039899352983465135,147.99
HPE,Hewlett Packard Enterprise,NYSE,55.21,21.24,3.24,37.21,3.05,868,2.56,15.721789530882086,16.54
HLT,Hilton Worldwide Holdings Inc,NYSE,55.53000000000001,40.7,1.43,16.26,16.78,410,52.75,7.383396362326669,151.37
HOLX,Hologic,NASDAQ,22.45,20.62,2.37,4.2,26.77,1.3,-13.66,0.0579064587973274,83.15
HD,Home Depot,NYSE,398.07,326.84,2.34,73.57,10.87,16.43,14.42,0.041274147762956265,318.43
HON,Honeywell Int'l Inc.,NASDAQ,168.47,134.77,11.52,45.22,16.11,5.54,5.38,0.03288419303140025,201
HRL,Hormel Foods Corp.,NYSE,-967.8199999999999,24.67,998.26,5.77,8.03,999.99,9.42,-1.0332396520014053,44.99
HST,Host Hotels & Resorts,NASDAQ,-788.04,13.18,807,5.78,-0.38,-11,83.71,0.013958682300390844,18.53
HPQ,HP Inc.,NYSE,68.33999999999999,29.98,3.15,41.51,5.09,3.2,-0.79,0.04682470002926545,30.4
HUM,Humana Inc.,NYSE,73.95,62.28,16.59,28.26,3.48,2.93,9.12,0.03962136578769439,501.68
HBAN,Huntington Bancshares,NASDAQ,180.44,22.24,6.94,165.14,32.13,2.24,16.9,0.012414098869430283,15.35
HII,Huntington Ingalls Industries,NYSE,-610.48,8.7,627,7.82,5.71,544,1.74,-0.8911020836063426,216.19
IDXX,IDEXX Laboratories,NASDAQ,-100.07999999999998,42.62,144.45,1.75,23.17,744.85,18.79,-7.442545963229418,503.65
ITW,Illinois Tool Works,NYSE,84.15,73.23,1.53,12.45,18.64,2.69,14.96,0.03196672608437314,238.05
ILMN,Illumina Inc,NASDAQ,36.81,33.67,1.34,4.48,16.84,762,39.73,20.700896495517522,212.83
INCY,Incyte,NASDAQ,16.5,17.69,2.35,1.16,31.76,948.58,11.98,57.48969696969697,79.36
IR,Ingersoll-Rand PLC,NYSE,27.57,23.6,2.11,6.08,10.92,562.5,29.68,20.40261153427639,57.43
INTC,Intel Corp.,NASDAQ,169.82999999999998,119.35,28.34,78.82,12.71,8.01,-20.21,0.047164811870694226,28.64
ICE,Intercontinental Exchange,NYSE,-375.53999999999996,60.71,607,170.75,56.79,4.06,18.39,-0.0108110986845609,108.4
IBM,International Business Machines,NYSE,219.79999999999998,123.32,8.74,105.22,2.71,1.64,5.54,0.00746132848043676,136.01
IP,International Paper,NYSE,28.590000000000003,13.97,1.54,16.16,9.05,1.75,10.24,0.06121021336131514,39.15
IPG,Interpublic Group,NYSE,27.59,14.56,3.27,16.3,10.46,952.8,12.94,34.534251540413194,37.58
IFF,Intl Flavors & Fragrances,NYSE,-667.87,24.69,711,18.44,2.32,270,129.27,-0.4042702921227185,96.03
INTU,Intuit Inc.,NASDAQ,126.35,118.34,3.28,11.29,16.23,2.07,32.11,0.016383062920459043,421.97
ISRG,Intuitive Surgical Inc.,NASDAQ,80.88000000000001,85.76,6.74,1.86,21.25,1.32,8.97,0.01632047477744807,241.09
IVZ,Invesco Ltd.,NYSE,20.22,8.54,1.23,12.91,15.22,920.7,-12.26,45.534124629080125,18.81
IQV,IQVIA Holdings Inc.,NYSE,59.33,42.16,1.48,18.65,6.96,966,22.14,16.281813585032868,227.07
IRM,Iron Mountain Incorporated,NYSE,-226.83,15.48,255.83,13.52,10.02,450.22,8.3,-1.9848344575232553,53.19
JBHT,J. B. Hunt Transport Services,NASDAQ,-27.89,19.96,51.93,4.08,6.54,969.35,21.74,-34.7561850125493,194.35
SJM,JM Smucker,NYSE,-146.34,15.65,169.9,7.91,7.9,631.7,-0.05,-4.316659833265,147.03
JNJ,Johnson & Johnson,NYSE,NaN,416.67,34.08,NaN,18.9,17.94,1.25,NaN,162.04
JCI,Johnson Controls International,NYSE,67.54,44.81,2.03,24.76,6.06,1.53,6.89,0.02265324252294936,65.19
JPM,JPMorgan Chase & Co.,NYSE,423.82000000000005,421.79,1.34,3.37,30.8,37.68,-6.56,0.08890566750035392,143.2
JNPR,Juniper Networks,NYSE,13.530000000000001,10.21,1.25,4.57,5.34,252.7,6.53,18.6770140428677,31.36
K,Kellogg Co.,NYSE,-263.11,22.93,300,13.96,10.49,1.49,2.98,-0.005663030671582228,67.2
KEY,KeyCorp,NYSE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KMB,Kimberly-Clark,NYSE,-366.61,43.12,427,17.27,9.59,1.93,3.78,-0.005264449960448433,128.58
KIM,Kimco Realty,NYSE,-313.15000000000003,13.17,334.66,8.34,61.85,844.06,28.99,-2.6953855979562507,21.42
KMI,Kinder Morgan,NYSE,-666.15,40.89,745,37.96,13.27,2.55,15.59,-0.0038279666741724834,18.31
KLAC,KLA-Tencor Corp.,NASDAQ,64.5,56.01,2.71,11.2,36.06,3.32,33.14,0.05147286821705426,402.33
KSS,Kohl's Corp.,NYSE,12.5,3.7,1.59,10.39,4.83,938,21.8,75.04,33.56
KHC,Kraft Heinz Co,NASDAQ,89.64999999999999,49.16,3.45,43.94,3.89,1.01,-0.55,0.011266034578918015,39.88
KR,Kroger Co.,NYSE,69.53,31.69,1.82,39.66,1.2,1.66,4.07,0.02387458650942039,43.63
LRCX,Lam Research,NASDAQ,77.47,70.21,3.66,10.92,26.73,4.61,17.78,0.0595069058990577,516.21
LEG,Leggett & Platt,NYSE,-353.45,4.59,361.7,3.66,7.93,402.4,18.51,-1.1384920073560616,34.38
LEN,Lennar Corp.,NYSE,38.49,29.39,4.64,13.74,13.7,4.61,24.11,0.11977136918680177,104.07
LLY,Lilly (Eli) & Co.,NYSE,354.05999999999995,318.32,3.91,39.65,19.71,5.58,15.4,0.015760040671072704,347.56
LNC,Lincoln National,NYSE,365.86,5.92,7.09,367.03,7.31,1.41,10.27,0.003853933198491226,34.68
LKQ,LKQ Corporation,NASDAQ,-251.85999999999999,15.47,274.13,6.8,8.33,1.09,12.55,-0.004327801159374256,57.42
LMT,Lockheed Martin Corp.,NYSE,163.73,122.67,2.55,43.61,8.69,5.73,-1.58,0.03499664081109143,481.58
L,Loews Corp.,NYSE,71.57000000000001,14.61,5.49,62.45,10.77,1.58,16.8,0.02207628894788319,61.78
LOW,Lowe's Cos.,NYSE,178.02,130.03,1.47,49.46,8.77,8.44,7.43,0.047410403325469044,213.76
LYB,LyondellBasell,NYSE,55.86,32.6,1.49,24.75,12.15,5.61,66.37,0.1004296455424275,100.13
MTB,M&T Bank Corp.,NYSE,175.94,27.13,26.6,175.41,26,1.99,26.29,0.011310674093440946,160.52
MAC,Macerich,NYSE,-104.3,2.98,112.45,5.17,1.64,14.26,14.36,-0.1367209971236817,13.18
M,Macy's Inc.,NYSE,18.439999999999998,6.18,1.71,13.97,5.65,1.43,39.76,0.07754880694143168,22.44
