Stock,Company Name,Ticker,Market Cap
UNION PACIFIC CORPORATION (XNYS:UNP),UNION PACIFIC CORPORATION,UNP, $118,981,907,658 
AMGEN INC. (XNAS:AMGN),AMGEN INC.,AMGN, $134,770,465,752 
RAYTHEON TECHNOLOGIES CORPORATION (XNYS:RTX),RAYTHEON TECHNOLOGIES CORPORATION,RTX, $130,730,549,560 
UNITED PARCEL SERVICE, INC. (XNYS:UPS),UNITED PARCEL SERVICE, INC.,UPS, $143,807,987,400 
LOWE'S COMPANIES, INC. (XNYS:LOW),LOWE'S COMPANIES, INC.,LOW, $113,197,168,422 
HONEYWELL INTERNATIONAL INC. (XNAS:HON),HONEYWELL INTERNATIONAL INC.,HON, $123,157,689,363 
AT&T INC. (XNYS:T),AT&T INC.,T, $121,854,600,000 
INTUIT INC. (XNAS:INTU),INTUIT INC.,INTU, $117,590,484,882 
ELEVANCE HEALTH, INC. (XNYS:ELV),ELEVANCE HEALTH, INC.,ELV, $122,050,456,704 
MEDTRONIC PUBLIC LIMITED COMPANY (XNYS:MDT),MEDTRONIC PUBLIC LIMITED COMPANY,MDT, $110,665,278,780 
INTERNATIONAL BUSINESS MACHINES CORPORATION (XNYS:IBM),INTERNATIONAL BUSINESS MACHINES CORPORATION,IBM, $117,442,590,000 
INTEL CORPORATION (XNAS:INTC),INTEL CORPORATION,INTC, $110,738,820,000 
NIKE, INC. (XNYS:NKE),NIKE, INC.,NKE, $138,466,303,500 
NETFLIX, INC. (XNAS:NFLX),NETFLIX, INC.,NFLX, $119,252,300,000 
LOCKHEED MARTIN CORPORATION (XNYS:LMT),LOCKHEED MARTIN CORPORATION,LMT, $116,449,900,000 
ADVANCED MICRO DEVICES, INC. (XNAS:AMD),ADVANCED MICRO DEVICES, INC.,AMD, $94,954,361,220 
S&P Global Inc. (XNYS:SPGI),S&P Global Inc.,SPGI, $98,695,990,000 
AMERICAN EXPRESS COMPANY (XNYS:AXP),AMERICAN EXPRESS COMPANY,AXP, $104,994,681,912 
DEERE & COMPANY (XNYS:DE),DEERE & COMPANY,DE, $115,615,015,976 
THE GOLDMAN SACHS GROUP, INC. (XNYS:GS),THE GOLDMAN SACHS GROUP, INC.,GS, $110,974,803,090 
AMERICAN TOWER CORPORATION (XNYS:AMT),AMERICAN TOWER CORPORATION,AMT, $87,325,478,964 
PAYPAL HOLDINGS, INC. (XNAS:PYPL),PAYPAL HOLDINGS, INC.,PYPL, $97,074,595,440 
STARBUCKS CORPORATION (XNAS:SBUX),STARBUCKS CORPORATION,SBUX, $101,671,114,000 
AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP),AUTOMATIC DATA PROCESSING, INC.,ADP, $96,654,990,258 
CATERPILLAR INC. (XNYS:CAT),CATERPILLAR INC.,CAT, $95,308,720,000 
CIGNA CORPORATION (XNYS:CI),CIGNA CORPORATION,CI, $91,943,715,707 
BLACKROCK, INC. (XNYS:BLK),BLACKROCK, INC.,BLK, $89,864,874,394 
CITIGROUP INC. (XNYS:C),CITIGROUP INC.,C, $85,718,784,600 
GILEAD SCIENCES, INC. (XNAS:GILD),GILEAD SCIENCES, INC.,GILD, $82,922,790,000 
STRYKER CORPORATION (XNYS:SYK),STRYKER CORPORATION,SYK, $82,591,192,017 
SERVICENOW, INC. (XNYS:NOW),SERVICENOW, INC.,NOW, $72,855,340,000 
Chubb Ltd (XNYS:CB),Chubb Ltd,CB, $82,605,292,506 
PROLOGIS, INC. (XNYS:PLD),PROLOGIS, INC.,PLD, $95,168,558,460 
Mondelez International, Inc. (XNAS:MDLZ),Mondelez International, Inc.,MDLZ, $78,601,960,100 
MARSH & MCLENNAN COMPANIES, INC. (XNYS:MMC),MARSH & MCLENNAN COMPANIES, INC.,MMC, $77,312,812,261 
VERTEX PHARMACEUTICALS INCORPORATED (XNAS:VRTX),VERTEX PHARMACEUTICALS INCORPORATED,VRTX, $76,937,850,000 
REGENERON PHARMACEUTICALS, INC. (XNAS:REGN),REGENERON PHARMACEUTICALS, INC.,REGN, $77,822,115,453 
